time_ms,speed_rpm
6977,102.86
6988,85.71
6998,85.71
7008,102.86
7018,85.71
7028,85.71
7038,85.71
7048,85.71
7058,102.86
7068,85.71
7078,85.71
7088,85.71
7098,85.71
7108,102.86
7118,68.57
7128,102.86
7138,85.71
7148,85.71
7158,85.71
7168,85.71
7178,102.86
7188,85.71
7198,85.71
7208,85.71
7218,85.71
7228,102.86
7238,85.71
7248,85.71
7258,85.71
7268,85.71
7278,102.86
7288,68.57
7298,102.86
7308,85.71
7318,85.71
7329,102.86
7339,85.71
7349,85.71
7359,85.71
7369,102.86
7379,85.71
7389,85.71
7399,85.71
7409,85.71
7419,85.71
7429,102.86
7439,85.71
7449,85.71
7459,85.71
7469,85.71
7479,102.86
7489,85.71
7500,85.71
7510,85.71
7520,102.86
7530,85.71
7540,85.71
7550,85.71
7560,85.71
7570,102.86
7580,85.71
7590,85.71
7600,85.71
7610,85.71
7620,102.86
7630,85.71
7640,85.71
7650,85.71
7660,85.71
7670,85.71
7680,102.86
7690,85.71
7700,85.71
7710,85.71
7720,85.71
7730,102.86
7740,85.71
7750,85.71
7760,85.71
7770,85.71
7780,85.71
7790,102.86
7800,68.57
7810,102.86
7820,85.71
7830,85.71
7841,85.71
7851,102.86
7861,85.71
7871,85.71
7881,85.71
7891,85.71
7901,102.86
7911,85.71
7921,85.71
7931,85.71
7941,85.71
7951,102.86
7961,85.71
7971,85.71
7981,85.71
7991,85.71
8001,102.86
8012,85.71
8022,85.71
8032,102.86
8042,85.71
8052,85.71
8062,85.71
8072,85.71
8082,102.86
8092,85.71
8102,85.71
8112,85.71
8122,85.71
8132,102.86
8142,68.57
8152,102.86
8162,85.71
8172,85.71
8182,85.71
8192,85.71
8202,102.86
8212,85.71
8222,85.71
8232,85.71
8242,85.71
8252,102.86
8262,85.71
8272,85.71
8282,85.71
8292,85.71
8302,102.86
8312,68.57
8322,102.86
8332,85.71
8342,85.71
8353,102.86
8363,85.71
8373,85.71
8383,85.71
8393,102.86
8403,68.57
8413,102.86
8423,85.71
8433,85.71
8443,85.71
8453,85.71
8463,102.86
8473,85.71
8483,85.71
8493,85.71
8503,85.71
8513,102.86
8524,85.71
8534,85.71
8544,102.86
8554,85.71
8564,85.71
8574,85.71
8584,85.71
8594,85.71
8604,102.86
8614,85.71
8624,85.71
8634,85.71
8644,85.71
8654,85.71
8664,85.71
8674,102.86
8684,85.71
8694,85.71
8704,85.71
8714,85.71
8724,102.86
8734,85.71
8744,85.71
8754,85.71
8764,85.71
8774,102.86
8784,68.57
8794,102.86
8804,85.71
8814,85.71
8824,85.71
8834,85.71
8844,102.86
8854,85.71
8865,85.71
8875,102.86
8885,85.71
8895,85.71
8905,85.71
8915,85.71
8925,102.86
8935,85.71
8945,85.71
8955,85.71
8965,85.71
8975,85.71
8985,102.86
8995,85.71
9005,85.71
9015,85.71
9025,85.71
9036,102.86
9046,85.71
9056,85.71
9066,102.86
9076,85.71
9086,85.71
9096,85.71
9106,85.71
9116,102.86
9126,68.57
9136,102.86
9146,85.71
9156,85.71
9166,85.71
9176,85.71
9186,102.86
9196,85.71
9206,85.71
9216,85.71
9226,85.71
9236,102.86
9246,85.71
9256,85.71
9266,85.71
9276,85.71
9286,85.71
9296,85.71
9306,102.86
9316,85.71
9326,85.71
9336,85.71
9346,85.71
9356,102.86
9366,85.71
9377,85.71
9387,85.71
9397,102.86
9407,85.71
9417,85.71
9427,85.71
9437,85.71
9447,102.86
9457,85.71
9467,85.71
9477,85.71
9487,85.71
9497,102.86
9507,68.57
9517,102.86
9527,85.71
9537,85.71
9548,102.86
9558,85.71
9568,85.71
9578,85.71
9588,102.86
9598,68.57
9608,102.86
9618,85.71
9628,85.71
9638,85.71
9648,85.71
9658,102.86
9668,85.71
9678,85.71
9688,85.71
9698,85.71
9708,102.86
9718,68.57
9728,102.86
9738,85.71
9748,85.71
9758,102.86
9768,68.57
9778,102.86
9788,85.71
9798,85.71
9808,85.71
9818,85.71
9828,85.71
9838,102.86
9848,85.71
9858,85.71
9868,85.71
9878,85.71
9889,102.86
9899,85.71
9909,85.71
9919,102.86
9929,85.71
9939,85.71
9949,85.71
9959,85.71
9969,102.86
9979,85.71
9989,85.71
9999,85.71
10009,85.71
10019,85.71
10029,85.71
10039,102.86
10049,85.71
10060,85.71
10070,102.86
10080,85.71
10090,85.71
10100,85.71
10110,85.71
10120,102.86
10130,85.71
10140,85.71
10150,85.71
10160,85.71
10170,85.71
10180,102.86
10190,85.71
10200,85.71
10210,85.71
10220,85.71
10230,85.71
10240,85.71
10250,102.86
10260,85.71
10270,85.71
10280,85.71
10290,85.71
10300,102.86
10310,85.71
10320,85.71
10330,85.71
10340,85.71
10350,102.86
10360,68.57
10370,102.86
10380,85.71
10390,85.71
10401,85.71
10411,102.86
10421,85.71
10431,85.71
10441,102.86
10451,68.57
10461,102.86
10471,85.71
10481,85.71
10491,85.71
10501,85.71
10511,102.86
10521,85.71
10531,85.71
10541,85.71
10551,85.71
10561,102.86
10572,85.71
10582,85.71
10592,102.86
10602,85.71
10612,85.71
10622,85.71
10632,85.71
10642,85.71
10652,102.86
10662,68.57
10672,102.86
10682,85.71
10692,85.71
10702,85.71
10712,85.71
10722,102.86
10732,85.71
10742,85.71
10752,85.71
10762,85.71
10772,102.86
10782,85.71
10792,85.71
10802,85.71
10812,85.71
10822,102.86
10832,68.57
10842,102.86
10852,85.71
10862,85.71
10872,85.71
10882,85.71
10892,102.86
10902,85.71
10913,85.71
10923,102.86
10933,85.71
10943,85.71
10953,85.71
10963,85.71
10973,85.71
